,0
0,Ambérieu-en-Bugey
1,Ambérieu-en-Bugey
2,Ambérieu-en-Bugey
3,Ambérieu-en-Bugey
4,Ambérieux-en-Dombes
5,Ambléon
6,Ambronay
7,Ambutrix
8,Ambutrix
9,Anglefort
10,Apremont
11,Aranc
12,Aranc
13,Arandas
14,Arbent
15,Arbignieu
16,Arbigny
17,Arbigny
18,Argis
19,Armix
20,Ars-sur-Formans
21,Artemare
22,Artemare
23,Asnières-sur-Saône
24,Attignat
25,Bâgé-la-Ville
26,Bâgé-le-Châtel
27,Bâgé-le-Châtel
28,Balan
29,Baneins
30,Beaupont
31,Beaupont
32,Beauregard
33,Béligneux
34,Bellegarde-sur-Valserine
35,Belley
36,Belley
37,Belleydoux
38,Bellignat
39,Belmont-Luthézieu
40,Bénonces
41,Bénonces
42,Bény
43,Béon
44,Bettant
45,Bettant
46,Bey
47,Beynost
48,Billiat
49,Birieux
50,Birieux
51,Biziat
52,Blyes
53,Boissey
54,Bolozon
55,Bouligneux
56,Bourg-en-Bresse
57,Bourg-Saint-Christophe
58,Bourg-Saint-Christophe
59,Boz
60,Brénaz
61,Brénaz
62,Brénod
63,Brens
64,Bressolles
65,Brion
66,Brion
67,Briord
68,Buellas
69,Ceignes
70,Cerdon
71,Cerdon
72,Certines
73,Cessy
74,Ceyzériat
75,Ceyzérieu
76,Ceyzérieu
77,Chalamont
78,Chaleins
79,Chaley
80,Challes
81,Challes
82,Challex
83,Champagne-en-Valromey
84,Champdor
85,Champfromier
86,Champfromier
87,Chanay
88,Chaneins
89,Chanoz-Châtenay
90,Charix
91,Charix
92,Charnoz-sur-Ain
93,Château-Gaillard
94,Châtenay
95,Châtillon-en-Michaille
96,Châtillon-en-Michaille
97,Châtillon-la-Palud
98,Châtillon-sur-Chalaronne
99,Chavannes-sur-Reyssouze
100,Chavannes-sur-Suran
101,Chavannes-sur-Suran
102,Chazey-Bons
103,Chazey-sur-Ain
104,Chazey-sur-Ain
105,Cheignieu-la-Balme
106,Chevillard
107,Chevroux
108,Chevry
109,Chevry
110,Chézery-Forens
111,Civrieux
112,Cize
113,Cleyzieu
114,Cleyzieu
115,Coligny
116,Collonges
117,Colomieu
118,Conand
119,Conand
120,Condamine
121,Condeissiat
122,Confort
123,Confrançon
124,Confrançon
125,Contrevoz
126,Conzieu
127,Corcelles
128,Corcelles
129,Corlier
130,Cormaranche-en-Bugey
131,Cormoranche-sur-Saône
132,Cormoz
133,Cormoz
134,Corveissiat
135,Courmangoux
136,Crans
137,Cras-sur-Reyssouze
138,Crottet
139,Crozet
140,Crozet
141,Cruzilles-lès-Mépillat
142,Culoz
143,Curciat-Dongalon
144,Curtafond
145,Cuzieu
146,Dagneux
147,Divonne-les-Bains
148,Dommartin
149,Dommartin
150,Dompierre-sur-Chalaronne
151,Dompierre-sur-Veyle
152,Domsure
153,Dortan
154,Dortan
155,Douvres
156,Drom
157,Druillat
158,Echallon
159,Echallon
160,Echenevex
161,Etrez
162,Evosges
163,Faramans
164,Faramans
165,Fareins
166,Farges
167,Feillens
168,Ferney-Voltaire
169,Ferney-Voltaire
170,Flaxieu
171,Foissiat
172,Frans
173,Frans
174,Genouilleux
175,Germagnat
176,Germagnat
177,Gex
178,Giron
179,Gorrevod
180,Grand-Corent
181,Grand-Corent
182,Grièges
183,Grilly
184,Groissiat
185,Groslée
186,Guéreins
187,Hautecourt-Romanèche
188,Hauteville-Lompnes
189,Hostiaz
190,Hotonnes
191,Illiat
192,Injoux-Génissiat
193,Innimond
194,Izernore
195,Izieu
196,Jassans-Riottier
197,Jassans-Riottier
198,Jasseron
199,Jayat
200,Journans
201,Joyeux
202,Joyeux
203,Jujurieux
204,L'Abergement-de-Varey
205,LaBoisse
206,LaBoisse
207,LaBurbanche
208,LaChapelle-du-Châtelard
209,LaTranclière
210,Labalme
211,Labalme
212,Lagnieu
213,Laiz
214,Lalleyriat
215,Lancrans
216,Lancrans
217,Lantenay
218,Lapeyrouse
219,Lavours
220,LeGrand-Abergement
221,LeGrand-Abergement
222,LeMontellier
223,LePlantay
224,LePoizat
225,LePoizat
226,Léaz
227,Lélex
228,Lent
229,LesNeyrolles
230,LesNeyrolles
231,Lescheroux
232,Leyment
233,Lhôpital
