,0
0,Ambarrois
1,Ambarrois
2,Ambléonais
3,Ambrunois
4,Butrians
5,Clafordans
6,Marranes
7,Randaoillards
8,Arandassiens
9,Arbanais
10,Arbignolans
11,Arbignerons
12,Argissiens
13,Armixois
14,Arsois
15,Artemariens
16,Asniérois
17,Attignatis
18,Bagésiens
19,Bagésiens
20,Balanais
21,Athaniens
22,Beaupontois
23,Beauregardiens
24,Bélignards
25,Bellegardiens
26,Belleysans
27,Belleydousans
28,Renouillus
29,Belmontais
30,Bénonçards
31,Bénéens
32,Béonais
33,Bettaniers
34,Bégiens
35,Beynolans
36,Billiatus
37,Birotans
38,Biziatis
39,Blyards
40,Bolozonnais
41,Boulignards
42,Burgiens
43,Bourtoirs
44,Burhins
45,Brénaziens
46,Brénodiens
47,Bréniards
48,Bressollands
49,Brionnais
50,Briolands
51,Buellassiens
52,Ceigneurs
53,Cerdonnais
54,Certinois
55,Cessiens
56,Ceyzériacois
57,Ceyzériolans
58,Chalamontais
59,Chalinois
60,Chaleysiens
61,Chaléens
62,Challaisiens
63,Champenois
64,Cambots
65,Champfromerands
66,Chanerus
67,Chaneinois
68,Chanoziens
69,Charians
70,Charnoziens
71,Chateaugaillardans
72,Chatenaysiens
73,Chatillonnais
74,Chatillonnais
75,Châtillonnais
76,Chavannois
77,Chavannais
78,Bondolans
79,Chazeyens
80,Cheignieulats
81,Savorays
82,Chevroutis
83,Chevryziens
84,Chézerands
85,Severins
86,Cizois
87,Cleyzolets
88,Colignois
89,Collongeois
90,Colomiards
91,Conandais
92,Condaminois
93,Conduxiens
94,Confordiers
95,Confrançonnais
96,Controvolats
97,Conzolards
98,Corcellans
99,Corlierons
100,Cormaranchois
101,Cormoranchois
102,Cormoziens
103,Curtivessiens
104,Curtimengiens
105,Crassois
106,Crottassis
107,Crozatis
108,Cruzillards
109,Culoziens
110,Curciatis
111,Cuziolans
112,Dagnards
113,Divonnais
114,Dommartinois
115,Dompierrois
116,Dompierrois
117,Domsurois
118,Dortannais
119,Douvrois
120,Dromniers
121,Druillatis
122,Echallonnais
123,Chenevessiens
124,Etréziens
125,Evosgiens
126,Faramandards
127,Farinois
128,Fargeois
129,Feillendis
130,Ferneysiens
131,Flaxiolans
132,Foissiatis
133,Franvernois
134,Génoliens
135,GermagnatisouGermanois
136,Gessiens
137,Gironnais
138,Gorrevoutis
139,Corentins
140,Griègeois
141,Grillerands
142,Groissiatis
143,Guerinois
144,Altacurciens
145,Hautevillois
146,Tiaques
147,Illiatis
148,InjolansouIndiolansetGénissiatus
149,Izernois
150,Izieulants
151,Jassannais
152,Jasseronnais
153,Jayatis
154,Journanais
155,Joliacois
156,Sussuriens
157,Abergementais
158,Buissards
159,Burbanchois
160,Châtelardois
161,Tranclériens
162,Balmérans
163,Lagnolans
164,Laiziens
165,Lalleyriatiers
166,Lancranais
167,Béguelins
168,Pérousards
169,Lavortins
170,Pofs
171,Montiliens
172,Plantaysiens
173,Poizatiers
174,Léaziens
175,Lélerands
176,Lentais
177,Neyrollans
178,Lescherouxiens
179,Leymentais
180,Hospitaliers
181,Lhuissars
182,Chicaneurs
183,Lompniolans
184,Loyettains
185,Luperciens
186,Magnolans
187,Maillatis
188,Malafertois
189,Mantenayrons
190,Manziatis
191,Marboziens
192,Marignolans
193,Marliozards
194,Martignanais
195,Masserots
196,Massignolants
197,Matafelonais
198,Meillonnassiens
199,Messimiens
200,Meximiards
201,Mézériatis
202,Mijolands
203,Mionnezans
204,Miribelans
205,Miselans
206,Montangers
207,Montcelliens
208,Montluistes
209,Montmerlois
210,Montréalais
211,Montrevélois
212,Nantuatiens
213,Nattageois
214,Neuvillois
215,Neuvillois
216,Neyrolands
217,Nièvrants
218,Onciolans
219,Ordonnaxiens
220,Ornésiens
221,Triolins
222,Oyonnaxiens
223,Parcevins
224,Parverans
225,Péronnais
226,Péronnassiens
227,Pérougiens
228,Perrexiens
229,Peyriatis
230,Peyriolans
231,Piéziacois
232,Pirajelliens
233,Pizolands
234,Plagnards
235,Polliatis
236,Pollieutants
237,Poncinois
238,Pondinois
239,Pontevallois
240,Pont-de-Veylois
241,Bédouins
242,Pougnerands
243,Pouillatis
244,Prémeyzélans
245,Pennons
246,Pressiatis
247,Prémoënnois
248,Priaysiens
249,Pugiolans
250,Ramassards
251,Rancéens
252,Replongeards
253,Rebenniens
254,Talançonnais
255,Reyssoulis
256,Rignards
257,Rossillonnais
258,Ruffiolans
259,Bagésiens
260,Corciens
261,Benoitiens
262,Spinosiens
263,Sansolians
264,Saint-Cyriens
265,San-Deniens
266,Sandeniens
267,Désidériens
268,Désidériens
269,Désidériens
270,Santaloins
271,Stéphanois
272,Stéphanois
273,Saint-Genésiens
274,San-Germinois
275,Saint-Germinois
276,Gonvillois
277,Buyatins
278,Thurignaciens
279,Juliveylois
280,Saint-Laurentins
281,Marcellinois
282,Saint-Martenants
283,San-Martinois
284,Saint-Martinois
285,Mauriciens
286,Rémensois
287,Varaxois
288,Rambertois
289,Sanrimois
290,Saint-Sorlinois
291,Trivicourtois
292,Utingeois
293,Villibadois
294,Saint-Cruziens
295,Euphémiens
296,Samognatis
297,Sandranais
298,Sauverniens
299,Segnerands
300,Sergiens
301,Sermoyards
302,Serrièrois
303,Servassiens
304,Seysselans
305,Simandrins
306,Songiolans
307,Souclinois
308,Surdiolans
309,Tarcholands
310,Tenaysiens
311,Thilois
312,Thoirysiens
313,Thoisseyens
314,Torciolans
315,Tossiatis
316,Toussinois
317,Tramoyens
318,Treffortois
319,Trévoltiens
320,Varambonnais
321,Vauxois
322,Verjonnais
323,Versonnexois
324,Vicusiens
325,Villardois
326,Villeboisiens
327,Villemontois
328,Villeneuvois
329,Surannais
330,Villatus
331,Villetois
332,Villacuciens
333,Viriatis
334,Viriolans
335,Viriolans
336,Vonnassiens
