saint-gineis-en-coiron,saint-gineys-en-coiron,,,aast,,le gault-perche
etoile-sur-rhône,étoile-sur-rhône,,,abainville,,ports
bort-l'etang,bort-l'étang,,,abancourt,,l'epinay-le-comte
guitalens,guitalens-l'albarède,,,abancourt,,aÿ
fêche-l'eglise,fêche-l'église,,,abaucourt,,l'aubépin
voeuil-et-giget,vœuil-et-giget,,,abaucourt-hautecourt,,trédrez
crèvecoeur-en-brie,crèvecœur-en-brie,,,abbans-dessous,,l'etang-bertrand
eze,èze,,,abbans-dessus,,saint-gabriel-brécy
verneuil-l'etang,verneuil-l'étang,,,abbaretz,,le thuit-signol
reignier,reignier-ésery,,,abbecourt,,frohen-le-petit
barisis,barisis-aux-bois,,,abbécourt,,l'ile-d'elle
les etilleux,les étilleux,,,abbenans,,champdeniers-saint-denis
betting-lès-saint-avold,betting,,,abbeville,,saint-romain-sur-gironde
aïti,aiti,,,abbéville-la-rivière,,trois-monts
argenton-l'eglise,argenton-l'église,,,abbéville-lès-conflans,,illiers-l'evêque
le gault-perche,le gault-perche,,,abbeville-saint-lucien,,montgailhard
ports,ports,,,abbévillers,,rémalard
l'epinay-le-comte,l'epinay-le-comte,,,abeilhan,,l'etang-salé
aÿ,aÿ,,,abelcourt,,le tilleul-othon
l'aubépin,l'aubépin,,,abère,,thun-l'evêque
trédrez,trédrez,,,abergement-la-ronce,,epieds-en-beauce
l'etang-bertrand,l'etang-bertrand,,,abergement-le-grand,,canala
saint-gabriel-brécy,saint-gabriel-brécy,,,abergement-le-petit,,sancey-le-grand
le thuit-signol,le thuit-signol,,,abergement-lès-thésy,,saint-pierre-d'autils
frohen-le-petit,frohen-le-petit,,,abergement-saint-jean,,pointvillers
l'ile-d'elle,l'ile-d'elle,,,abidos,,eragny-sur-oise
champdeniers-saint-denis,champdeniers-saint-denis,,,abilly,,prignac-en-médoc
saint-romain-sur-gironde,saint-romain-sur-gironde,,,abitain,,ezy-sur-eure
trois-monts,trois-monts,,,abjat-sur-bandiat,,epreville-en-roumois
illiers-l'evêque,illiers-l'evêque,,,ablain-saint-nazaire,,ancenis
montgailhard,montgailhard,,,ablaincourt-pressoir,,grandchain
rémalard,rémalard,,,ablainzevelle,,castellet
l'etang-salé,l'etang-salé,,,ablancourt,,molère
le tilleul-othon,le tilleul-othon,,,ableiges,,saint-ange-le-vieil
thun-l'evêque,thun-l'evêque,,,ablis,,bailleau-l'evêque
epieds-en-beauce,epieds-en-beauce,,,ablon,,panissage
canala,canala,,,ablon-sur-seine,,cocurès
sancey-le-grand,sancey-le-grand,,,aboën,,chemaudin
saint-pierre-d'autils,saint-pierre-d'autils,,,aboncourt,,boisgasson
pointvillers,pointvillers,,,aboncourt,,la boissière-sur-evre
eragny-sur-oise,eragny-sur-oise,,,aboncourt-gesincourt,,saint-germain-de-tallevende-la-land
prignac-en-médoc,prignac-en-médoc,,,aboncourt-sur-seille,,kerguelen
ezy-sur-eure,ezy-sur-eure,,,abondance,,berre-l'etang
epreville-en-roumois,epreville-en-roumois,,,abondant,,bernières-sur-seine
ancenis,ancenis,,,abos,,boësse
grandchain,grandchain,,,abreschviller,,cormot-le-grand
castellet,castellet,,,abrest,,tosny
molère,molère,,,abriès,,l'ecaille
saint-ange-le-vieil,saint-ange-le-vieil,,,abriès-ristolas,,marcy-l'etoile
bailleau-l'evêque,bailleau-l'evêque,,,abscon,,cerisy-belle-etoile
panissage,panissage,,,abzac,,marigny-l'eglise
cocurès,cocurès,,,abzac,,saint-champ
chemaudin,chemaudin,,,accolans,,lainville
boisgasson,boisgasson,,,accolay,,saincaize-gare
la boissière-sur-evre,la boissière-sur-evre,,,accons,,chalençon
saint-germain-de-tallevende-la-land,saint-germain-de-tallevende-la-land,,,accous,,papeete
kerguelen,kerguelen,,,achain,,mittainvilliers
berre-l'etang,berre-l'etang,,,achen,,saint-maurice-de-tavernole
bernières-sur-seine,bernières-sur-seine,,,achenheim,,clarafond
boësse,boësse,,,achères,,izel-les-hameaux
cormot-le-grand,cormot-le-grand,,,achères,,arrou
tosny,tosny,,,achères-la-forêt,,le castellard-melan
l'ecaille,l'ecaille,,,achery,,troisgots
marcy-l'etoile,marcy-l'etoile,,,acheux-en-amiénois,,argenton-château
cerisy-belle-etoile,cerisy-belle-etoile,,,acheux-en-vimeu,,anguerny
marigny-l'eglise,marigny-l'eglise,,,acheville,,ecurey-en-verdunois
saint-champ,saint-champ,,,achey,,saint-géréon
lainville,lainville,,,achicourt,,le plessis-l'evêque
saincaize-gare,saincaize-gare,,,achiet-le-grand,,puy-l'evêque
chalençon,chalençon,,,achiet-le-petit,,château-chinon-ville
papeete,papeete,,,achun,,yvré-l'evêque
mittainvilliers,mittainvilliers,,,achy,,les cerqueux-de-maulévrier
saint-maurice-de-tavernole,saint-maurice-de-tavernole,,,acigné,,templeuve
clarafond,clarafond,,,aclou,,etrelles-et-la-montbleuse
izel-les-hameaux,izel-les-hameaux,,,acon,,les roches-l'evêque
arrou,arrou,,,acoua,,beauregard-l'evêque
le castellard-melan,le castellard-melan,,,acq,,orsonnette
troisgots,troisgots,,,acqueville,,villiers-saint-fréderic
argenton-château,argenton-château,,,acqueville,,fragnes
anguerny,anguerny,,,acquigny,,braffais
ecurey-en-verdunois,ecurey-en-verdunois,,,acquin-westbécourt,,gonneville
saint-géréon,saint-géréon,,,acy,,chirat-l'eglise
le plessis-l'evêque,le plessis-l'evêque,,,acy-en-multien,,brantôme
puy-l'evêque,puy-l'evêque,,,acy-romance,,ligny-haucourt
château-chinon-ville,château-chinon-ville,,,adaincourt,,roquesteron
yvré-l'evêque,yvré-l'evêque,,,adainville,,pommiers-la-placette
les cerqueux-de-maulévrier,les cerqueux-de-maulévrier,,,adam-lès-passavant,,escorneboeuf
templeuve,templeuve,,,adam-lès-vercel,,coeuvres-et-valsery
etrelles-et-la-montbleuse,etrelles-et-la-montbleuse,,,adamswiller,,sauxemesnil-ruffosses
les roches-l'evêque,les roches-l'evêque,,,adast,,venables
beauregard-l'evêque,beauregard-l'evêque,,,adé,,brézolles
orsonnette,orsonnette,,,adelange,,badinières
villiers-saint-fréderic,villiers-saint-fréderic,,,adelans-et-le-val-de-bithaine,,estouteville-ecalles
fragnes,fragnes,,,adervielle-pouchergues,,boeurs-en-othe
braffais,braffais,,,adilly,,le haucourt
gonneville,gonneville,,,adinfer,,nézignan-l'evêque
chirat-l'eglise,chirat-l'eglise,,,adissan,,bordères-sur-l'echez
brantôme,brantôme,,,adon,,peumérit
ligny-haucourt,ligny-haucourt,,,adriers,,tatinghem
roquesteron,roquesteron,,,afa,,abries
pommiers-la-placette,pommiers-la-placette,,,affieux,,voultegon
escorneboeuf,escorneboeuf,,,affléville,,le mont-dore
coeuvres-et-valsery,coeuvres-et-valsery,,,affoux,,tauxigny
sauxemesnil-ruffosses,sauxemesnil-ruffosses,,,affracourt,,balsac
venables,venables,,,affringues,,leschelles
brézolles,brézolles,,,agassac,,bullou
badinières,badinières,,,agde,,chenoise
estouteville-ecalles,estouteville-ecalles,,,agel,,saint-laurent-de-belzagot
boeurs-en-othe,boeurs-en-othe,,,agen,,wallers-trélon
le haucourt,le haucourt,,,agen-d'aveyron,,tarcenay
nézignan-l'evêque,nézignan-l'evêque,,,agencourt,,sainte-croix-de-verdon
bordères-sur-l'echez,bordères-sur-l'echez,,,agenville,,lasgraïsses
peumérit,peumérit,,,agenvillers,,bourail
tatinghem,tatinghem,,,ageville,,clarques
abries,abries,,,agey,,bézenac
voultegon,voultegon,,,aghione,,pluméliau
le mont-dore,le mont-dore,,,agincourt,,tierceville
tauxigny,tauxigny,,,agmé,,la ferté-macé
balsac,balsac,,,agnac,,les eparres
leschelles,leschelles,,,agnat,,thomer-la-sôgne
bullou,bullou,,,agneaux,,bourg-l'evêque
chenoise,chenoise,,,agnetz,,aubeville
saint-laurent-de-belzagot,saint-laurent-de-belzagot,,,agnez-lès-duisans,,saint-clémentin
wallers-trélon,wallers-trélon,,,agnicourt-et-séchelles,,saint-cyr-l'ecole
tarcenay,tarcenay,,,agnières,,arnouville-lès-gonesse
sainte-croix-de-verdon,sainte-croix-de-verdon,,,agnières,,vauchignon
lasgraïsses,lasgraïsses,,,agnières-en-dévoluy,,eragny-sur-epte
bourail,bourail,,,agnin,,saint-symphorien-le-château
clarques,clarques,,,agnos,,le thuit-simer
bézenac,bézenac,,,agny,,ozouër-le-voulgis
pluméliau,pluméliau,,,agon-coutainville,,meulan
tierceville,tierceville,,,agonac,,cheylard-l'evêque
la ferté-macé,la ferté-macé,,,agonès,,sigoulès
les eparres,les eparres,,,agonges,,crèvecoeur-en-auge
thomer-la-sôgne,thomer-la-sôgne,,,agonnay,,seythenex
bourg-l'evêque,bourg-l'evêque,,,agos-vidalos,,sainte-geneviève-sur-argence
aubeville,aubeville,,,agris,,pugieu
saint-clémentin,saint-clémentin,,,agudelle,,l'etrat
saint-cyr-l'ecole,saint-cyr-l'ecole,,,aguessac,,auzat-sur-allier
arnouville-lès-gonesse,arnouville-lès-gonesse,,,aguilcourt,,bors de montmoreau
vauchignon,vauchignon,,,aguts,,saint-loup-de-gonois
eragny-sur-epte,eragny-sur-epte,,,agy,,virieu
saint-symphorien-le-château,saint-symphorien-le-château,,,ahaxe-alciette-bascassan,,saint-laurent-du-mont
le thuit-simer,le thuit-simer,,,ahetze,,couffi
ozouër-le-voulgis,ozouër-le-voulgis,,,ahéville,,bryas
meulan,meulan,,,ahuillé,,vaire-le-petit
cheylard-l'evêque,cheylard-l'evêque,,,ahun,,cosqueville
sigoulès,sigoulès,,,ahuy,,saint-antoine-l'abbaye
crèvecoeur-en-auge,crèvecoeur-en-auge,,,aibes,,canilhac
seythenex,seythenex,,,aibre,,cré
sainte-geneviève-sur-argence,sainte-geneviève-sur-argence,,,aïcirits-camou-suhast,,château-d'olonne
pugieu,pugieu,,,aiffres,,légna
l'etrat,l'etrat,,,aigaliers,,lalbarède
auzat-sur-allier,auzat-sur-allier,,,aiglemont,,marcq-en-baroeul
bors de montmoreau,bors de montmoreau,,,aiglepierre,,saint-méloir
saint-loup-de-gonois,saint-loup-de-gonois,,,aigleville,,neuvy-en-champagne
virieu,virieu,,,aiglun,,cully
saint-laurent-du-mont,saint-laurent-du-mont,,,aiglun,,saint-julien-de-raz
couffi,couffi,,,aignan,,graves
bryas,bryas,,,aignay-le-duc,,dorceau
vaire-le-petit,vaire-le-petit,,,aigne,,vallouise
cosqueville,cosqueville,,,aigné,,mons-en-baroeul
saint-antoine-l'abbaye,saint-antoine-l'abbaye,,,aignerville,,la génétouze
canilhac,canilhac,,,aignes,,vizos
cré,cré,,,aigneville,,réaux
château-d'olonne,château-d'olonne,,,aigny,,heiltz-l'evêque
légna,légna,,,aigondigné,,saint-pierre-de-fursac
lalbarède,lalbarède,,,aigonnay,,bandrélé
marcq-en-baroeul,marcq-en-baroeul,,,aigre,,l' etang-la-ville
saint-méloir,saint-méloir,,,aigre,,le falga
neuvy-en-champagne,neuvy-en-champagne,,,aigrefeuille,,courcerault
cully,cully,,,aigrefeuille-d'aunis,,siccieu-saint-julien-et-carisie
saint-julien-de-raz,saint-julien-de-raz,,,aigrefeuille-sur-maine,,javerlhac-et-la-chapelle-st-robert
graves,graves,,,aigremont,,les chambres
dorceau,dorceau,,,aigremont,,courcouronnes
vallouise,vallouise,,,aigremont,,monterrein
mons-en-baroeul,mons-en-baroeul,,,aigremont,,la chapelle-viviers
la génétouze,la génétouze,,,aiguebelette-le-lac,,saint-dizier-l'evêque
vizos,vizos,,,aiguebelle,,saint-béat
réaux,réaux,,,aigueblanche,,les gêts
heiltz-l'evêque,heiltz-l'evêque,,,aiguefonde,,les eglisottes-et-chalaures
saint-pierre-de-fursac,saint-pierre-de-fursac,,,aigueperse,,bayers
bandrélé,bandrélé,,,aigueperse,,la vacquerie-et-saint-martin-de-cas
l' etang-la-ville,l' etang-la-ville,,,aigues-juntes,,intres
le falga,le falga,,,aigues-mortes,,le thuit-anger
courcerault,courcerault,,,aigues-vives,,le may-sur-evre
siccieu-saint-julien-et-carisie,siccieu-saint-julien-et-carisie,,,aigues-vives,,réthoville
